code,low_threshold,high_threshold,current_fisher_price,strategy,note1,note2
13,0,0,-1000,in,,
15,0,0,-1000,in,,
47,0,0,-1000,in,,
405,0,0,-1000,in,,
406,0,0,-1000,in,,
412,0,0,-1000,in,,
503,-0.536539632,0.633516461,-0.818992424,in,,
508,0,0,-1000,in,,
509,-0.596363072,0.630651644,-0.956237411,in,,
515,0,0,-1000,in,,
522,0,0,-1000,in,,
527,0,0,-1000,in,,
535,0,0,-1000,in,,
542,0,0,-1000,in,,
549,0,0,-1000,in,,
556,0,0,-1000,in,,
564,-0.519520715,0.719529639,-1.031392023,in,,
569,0,0,-1000,in,,
578,0,0,-1000,in,,
583,0,0,-1000,in,,
588,0,0,-1000,in,,
602,0,0,-1000,in,,
618,0,0,-1000,in,,
621,0,0,-1000,in,,
653,0,0,-1000,in,,
658,0,0,-1000,in,,
660,0,0,-1000,in,,
675,0,0,-1000,in,,
689,0,0,-1000,in,,
699,0,0,-1000,in,,
730,0,0,-1000,in,,
755,-0.513788084,0.631341761,-0.663858263,in,,
763,0,0,-1000,in,,
765,0,0,-1000,in,,
769,0,0,-1000,in,,
787,0,0,-1000,in,,
805,0,0,-1000,in,,
806,-0.54795769,0.655987098,-1.22069114,in,,
816,-0.563106126,0.604186691,-0.884235435,in,,
817,0,0,-1000,in,,
827,0,0,-1000,in,,
832,0,0,-1000,in,,
866,0,0,-1000,in,,
956,0,0,-1000,in,,
2143,-0.477560801,0.667702626,-0.726029443,in,,
2260,-0.565250612,0.651944352,-0.630928921,in,,
2409,-0.529279127,0.593770803,-0.532128908,in,,
2426,-0.520072052,0.641501639,-0.698081011,in,,
2606,-0.522253225,0.617070655,-1.496808716,in,,
2619,-0.533822708,0.65038608,-0.83172743,in,,
2650,-0.530200821,0.59142243,-0.545439235,in,,
2694,-0.535765769,0.633210749,-0.583790707,in,,
300115,-0.515565173,0.558326447,-0.554474391,in,watch,
300140,-0.51584905,0.651834365,-0.600661672,in,,
300164,-0.607593189,0.572444215,-0.78651019,in,,
300291,-0.580075661,0.566242269,-0.770630027,in,watch,fail
300343,-0.612562796,0.66567928,-0.634460691,in,watch,
300413,-0.601584033,0.58808807,-0.608440015,in,,
