date,floor_price,opening_price,ceiling_price,volume,closing_price
2013-07-18,23.290,23.800,24.250,3175844,23.910
2013-07-19,22.650,23.760,23.880,5086895,22.810
2013-07-22,22.420,22.430,23.560,3659486,23.480
2013-07-23,23.380,23.500,23.950,3526413,23.590
2013-07-24,23.510,23.700,24.640,5981372,24.420
2013-07-25,24.010,24.630,25.340,5498118,24.090
2013-07-26,23.510,23.950,24.730,3054115,24.190
2013-07-29,23.390,24.000,24.270,3147429,23.530
2013-07-30,22.570,23.530,23.730,4069268,22.690
2013-07-31,22.300,22.740,23.130,2371188,22.440
2013-08-01,22.350,22.350,23.300,3718933,23.070
2013-08-02,23.010,23.120,23.460,3013905,23.110
2013-08-05,22.760,23.290,23.920,3434926,23.810
2013-08-06,23.350,23.820,23.850,4135272,23.480
2013-08-07,22.810,23.450,23.850,5194850,22.870
2013-08-08,22.600,22.600,23.620,3375625,23.500
2013-08-09,22.800,23.550,23.650,2514593,23.130
2013-08-12,22.750,23.120,23.280,2210584,22.950
2013-08-13,22.710,22.850,23.200,1983483,23.150
2013-08-14,22.850,23.350,23.350,2125315,23.060
2013-08-15,21.610,23.100,23.100,5862447,21.720
2013-08-16,20.350,21.500,22.100,5256294,20.620
2013-08-19,20.880,20.880,21.600,2958701,21.440
2013-08-20,21.200,21.470,21.930,3291508,21.520
2013-08-21,20.830,21.530,21.640,2961260,21.100
2013-08-22,21.000,21.090,21.370,1842379,21.290
2013-08-23,21.320,21.340,22.150,4346525,21.800
2013-08-26,21.750,21.760,22.390,2560581,22.130
2013-08-27,21.830,22.130,22.390,1668756,22.250
2013-08-28,21.400,22.090,22.090,2402201,21.560
2013-08-29,21.510,21.560,22.140,1339873,21.690
2013-08-30,20.830,21.600,21.790,1975321,21.100
2013-09-02,20.370,21.100,21.140,2512728,20.950
2013-09-03,20.810,20.960,21.490,1542510,21.370
2013-09-04,20.920,21.380,21.380,1594853,21.080
2013-09-05,20.600,20.710,21.190,1579889,21.040
2013-09-06,21.000,21.060,21.590,1912982,21.380
2013-09-09,20.710,21.350,21.590,2287968,21.110
2013-09-10,20.600,21.090,21.110,2694735,20.740
2013-09-11,19.930,20.730,20.730,3864304,20.400
2013-09-12,20.100,20.200,20.550,1212620,20.200
2013-09-13,19.990,20.200,20.530,1979976,20.510
2013-09-16,20.400,20.500,20.890,2191191,20.690
2013-09-17,20.050,20.450,20.650,1649321,20.130
2013-09-18,20.130,20.200,20.540,1294206,20.430
2013-09-23,20.310,20.450,22.040,5945763,21.780
2013-09-24,21.630,21.780,22.450,4620305,21.890
2013-09-25,21.430,21.770,22.150,2323193,21.490
2013-09-26,21.030,21.280,22.000,3708407,21.940
2013-09-27,21.700,21.870,22.250,2819997,21.860
2013-09-30,21.630,21.820,22.200,2676897,21.880
2013-10-08,21.300,21.800,22.150,2210962,22.100
2013-10-09,22.010,22.160,22.560,2460817,22.160
2013-10-10,21.860,22.200,22.580,2438091,22.040
2013-10-11,21.580,21.900,22.140,3513121,21.790
2013-10-14,21.450,21.750,21.790,2513679,21.620
2013-10-15,21.700,21.780,22.280,3633887,22.020
2013-10-16,20.960,21.960,21.990,2522655,21.210
2013-10-17,20.810,21.250,21.410,2028724,21.060
2013-10-18,20.740,21.080,21.450,1634049,20.860
2013-10-21,20.800,20.860,21.700,2956777,21.670
2013-10-22,21.450,21.600,22.190,4363094,22.120
2013-10-23,21.620,22.200,22.370,2510099,21.690
2013-10-24,21.630,21.630,22.200,2014038,21.900
2013-10-25,21.580,21.790,22.480,2964674,21.590
2013-10-28,20.100,21.610,21.780,3498982,20.510
2013-10-29,19.340,20.400,20.690,2480708,20.160
2013-10-30,20.080,20.080,20.550,1195701,20.280
2013-10-31,19.500,20.200,20.200,1022292,19.690
2013-11-01,19.600,19.690,20.310,1733775,20.130
2013-11-04,20.010,20.020,20.730,1189273,20.350
2013-11-05,19.880,20.310,20.510,1022341,20.080
2013-11-06,19.840,20.080,20.280,944189,19.890
2013-11-07,19.360,19.890,19.910,1393849,19.480
2013-11-08,19.320,19.380,19.800,955330,19.400
2013-11-11,19.000,19.400,20.200,1974030,20.110
2013-11-12,19.910,20.120,20.720,1682788,20.660
2013-11-13,20.110,20.460,20.580,1093761,20.470
2013-11-14,20.310,20.640,20.800,743297,20.570
2013-11-15,20.430,20.430,21.100,1973966,20.560
2013-11-18,20.710,21.170,21.380,2835153,20.990
2013-11-19,20.720,20.990,21.050,774330,20.890
2013-11-20,20.750,20.800,20.980,820415,20.880
2013-11-21,20.450,20.860,20.900,1021402,20.550
2013-11-22,20.410,20.660,20.660,554754,20.450
2013-11-25,20.350,20.400,20.810,1025277,20.570
2013-11-26,20.580,20.680,20.930,875959,20.680
2013-11-27,20.350,20.430,20.760,1474340,20.750
2013-11-28,20.680,20.680,21.120,1778673,21.080
2013-11-29,21.000,21.000,21.720,2710265,21.510
2013-12-02,20.530,21.020,21.250,3030340,20.640
2013-12-03,20.440,20.500,21.630,2662602,21.270
2013-12-04,21.200,21.270,21.680,2468400,21.390
2013-12-05,20.880,21.410,21.520,3369822,20.960
2013-12-06,20.880,21.010,21.350,1408075,21.090
2013-12-09,20.900,21.090,21.190,840448,21.010
2013-12-10,20.740,21.050,21.080,845975,20.800
2013-12-11,20.400,20.780,20.780,1231333,20.590
2013-12-12,20.400,20.530,20.760,1474694,20.440
2013-12-13,20.380,20.450,20.600,704919,20.450
2013-12-16,19.890,20.430,20.520,1579196,20.090
2013-12-17,20.550,20.550,22.100,12193113,21.500
